State/Territory,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals
Montana,2008,"5,753","7,419","8,100","7,544","8,215","6,928","6,529","7,785","8,612","10,749","9,988","9,977","97,599"
Nebraska,2008,"4,304","4,521","4,526","3,649","3,088","2,636","2,809","3,814","4,364","5,988","8,129","8,761","56,589"
Nevada,2008,"5,329","6,956","7,543","6,164","6,460","5,974","6,687","7,587","6,812","8,850","13,436","13,454","95,252"
New Hampshire,2008,"4,969","4,778","5,862","6,063","5,268","4,826","4,796","5,059","5,030","6,575","7,913","6,154","67,293"
New Jersey,2008,"3,061","3,004","3,313","3,044","2,966","2,692","2,889","2,867","3,186","3,928","4,954","4,621","40,525"
New Mexico,2008,"7,594","9,316","9,001","7,598","7,554","7,433","7,193","7,934","7,691","9,479","12,078","13,260","106,131"
New York,2008,"16,478","17,283","18,748","18,179","15,388","13,191","13,240","15,592","20,428","22,858","27,081","23,454","221,920"
North Carolina,2008,"27,082","30,838","26,027","24,025","22,466","20,951","21,817","23,533","23,083","31,276","45,424","50,951","347,473"
North Dakota,2008,"3,126","3,430","3,673","3,444","3,230","2,877","2,775","3,449","4,651","6,399","5,248","4,530","46,832"
Ohio,2008,"28,065","29,116","29,199","25,222","22,604","19,159","20,652","22,657","23,361","31,341","53,256","45,382","350,014"
Oklahoma,2008,"16,006","19,521","16,347","15,963","14,480","12,812","13,066","16,373","15,318","18,886","32,368","30,472","221,612"
Oregon,2008,"12,399","14,107","16,867","14,644","13,174","12,635","11,154","12,172","14,576","14,609","22,636","20,914","179,887"
Pennsylvania,2008,"44,755","46,646","56,009","45,947","40,630","36,218","38,271","41,911","46,220","55,218","78,828","67,891","598,544"
Puerto Rico,2008,616,554,434,416,462,474,517,631,658,570,511,660,"6,503"
Rhode Island,2008,921,973,"1,122",930,946,744,830,846,931,"1,171","1,618","1,373","12,405"
South Carolina,2008,"13,553","17,215","15,445","11,607","11,974","10,499","11,314","12,881","12,515","15,680","27,464","24,794","184,941"
South Dakota,2008,"4,050","4,593","4,634","4,117","3,673","3,171","3,146","5,261","6,193","8,299","7,566","7,786","62,489"
Tennessee,2008,"20,764","25,181","22,006","17,915","17,783","16,905","17,909","20,940","18,460","24,426","38,954","41,576","282,819"
Texas,2008,"66,797","72,001","63,667","59,527","61,039","59,239","56,777","73,208","71,992","92,043","132,359","135,919","944,568"
Utah,2008,"9,538","8,525","9,871","10,937","11,653","13,813","22,972","23,022","10,966","24,217","16,083","19,995","181,592"
Vermont,2008,"1,313","1,941","2,037","1,897","1,597","1,245","1,526","1,553","2,053","2,367","2,417","2,045","21,991"
Virgin Islands,2008,134,139,76,158,171,159,114,112,126,99,120,128,"1,536"
Virginia,2008,"19,553","24,218","22,337","21,146","17,556","14,673","18,112","18,908","20,124","25,120","39,241","37,986","278,974"
Washington,2008,"23,846","26,052","27,638","24,647","23,563","22,815","20,808","22,169","23,879","28,415","37,424","35,333","316,589"
West Virginia,2008,"10,734","13,159","11,339","9,691","9,549","8,448","8,932","10,281","10,770","15,608","19,848","19,330","147,689"
Wisconsin,2008,"11,426","15,311","19,440","16,588","11,354","9,671","9,292","13,495","17,435","20,469","23,927","18,411","186,819"
Wyoming,2008,"2,966","3,748","4,079","3,695","3,597","3,550","3,296","3,601","3,980","4,017","6,114","6,612","49,255"
Alabama,2007,"22,107","21,897","19,220","15,061","14,412","15,362","14,290","18,554","19,270","20,122","27,561","37,499","245,355"
Alaska,2007,"2,904","3,534","4,048","4,285","3,939","3,770","3,825","4,683","3,770","4,943","4,149","5,754","49,604"
Arizona,2007,"16,196","18,457","17,666","15,898","13,642","15,672","13,783","15,971","14,668","14,628","15,299","20,191","192,071"
Arkansas,2007,"14,767","14,628","12,308","10,470","9,679","10,362","10,567","12,448","13,749","16,174","21,238","23,434","169,824"
California,2007,"62,459","62,560","75,306","67,801","86,930","83,523","71,837","69,084","80,429","69,809","63,910","62,295","855,943"
Colorado,2007,"17,007","18,301","20,070","16,769","17,002","15,466","15,460","18,573","17,525","19,661","20,057","25,846","221,737"
Connecticut,2007,"9,512","8,647","10,704","9,443","8,611","8,568","8,092","9,379","8,539","11,697","11,433","11,487","116,112"
Delaware,2007,"1,381","1,302","1,417","1,200","1,058",988,949,"1,164","1,203","1,407","1,711","2,132","15,912"
District of Columbia,2007,72,1,4,2,45,4,2,1,1,3,0,1,136
Florida,2007,"35,013","36,440","37,115","32,101","32,487","32,629","29,624","33,844","32,416","35,495","38,887","50,129","426,180"
Georgia,2007,"22,775","24,453","22,363","17,162","16,682","17,431","16,930","20,973","19,840","24,282","27,974","39,603","270,468"
Guam,2007,35,29,39,40,38,30,33,38,29,51,43,36,441
Hawaii,2007,579,449,591,557,517,478,555,537,545,605,564,544,"6,521"
Idaho,2007,"6,575","8,013","8,474","7,423","6,860","6,624","5,947","7,816","8,633","8,479","8,189","10,864","93,897"
Illinois,2007,"48,593","43,080","51,379","40,643","40,710","36,530","36,100","46,053","45,681","49,990","51,699","46,517","536,975"
Indiana,2007,"15,975","15,211","17,992","13,262","11,144","12,081","11,365","15,086","13,835","16,123","21,950","22,840","186,864"
Iowa,2007,"10,282","8,314","9,600","7,337","5,238","4,670","4,742","6,441","7,516","10,303","11,723","12,722","98,888"
Kansas,2007,"8,995","9,938","10,918","7,868","6,411","6,544","6,167","9,111","9,027","10,621","12,434","13,468","111,502"
Kentucky,2007,"125,604","127,538","127,759","124,816","125,970","128,745","121,163","134,729","134,456","141,264","144,176","151,630","1,587,850"
Louisiana,2007,"16,371","15,442","14,807","11,666","11,245","12,485","13,055","17,062","17,399","22,007","23,972","32,690","208,201"
Maine,2007,"3,535","3,333","4,241","3,809","3,111","3,058","3,264","4,143","5,754","7,652","4,867","4,512","51,279"
Mariana Islands,2007,0,9,2,0,0,0,0,0,0,0,0,0,11
Maryland,2007,"6,505","7,355","7,439","6,449","5,346","5,140","5,093","6,193","5,907","7,421","8,603","8,798","80,249"
Massachusetts,2007,"15,028","13,668","15,587","13,968","14,890","13,681","13,792","14,955","13,517","14,084","12,353","9,923","165,446"
Michigan,2007,"26,569","26,009","30,605","25,082","20,746","18,603","19,681","23,941","26,740","30,573","32,264","31,038","311,851"
Minnesota,2007,"20,147","17,475","23,521","20,894","16,077","15,117","15,254","22,098","27,033","29,453","19,561","21,456","248,086"
Mississippi,2007,"14,657","15,023","12,448","9,443","9,182","9,847","10,305","13,747","12,883","16,126","23,488","28,149","175,298"
Missouri,2007,"18,806","22,320","23,960","20,783","18,594","17,502","15,675","22,546","24,671","28,608","27,415","33,205","274,085"
Montana,2007,"5,808","6,563","7,617","7,350","6,747","6,535","5,735","7,989","9,249","10,328","7,067","9,367","90,355"
Nebraska,2007,"4,225","4,133","4,390","3,524","2,944","2,726","2,808","4,202","4,420","5,767","5,909","6,994","52,042"
Nevada,2007,"5,517","5,915","6,704","5,603","5,583","5,613","4,783","5,900","5,308","5,193","5,943","8,214","70,276"
New Hampshire,2007,"5,357","4,960","5,626","5,642","5,013","4,515","4,654","5,159","6,454","6,671","5,870","5,189","65,110"
New Jersey,2007,"2,901","2,914","3,371","2,714","2,655","2,833","2,535","2,898","2,822","3,317","3,788","3,664","36,412"
New Mexico,2007,"7,431","8,578","8,115","7,153","6,704","7,087","6,283","7,608","7,324","8,080","8,137","10,804","93,304"
New York,2007,"17,343","15,750","18,217","17,377","14,925","13,268","14,011","16,020","20,361","21,928","21,903","21,071","212,174"
North Carolina,2007,"26,262","26,192","23,536","18,434","18,741","18,412","17,804","23,387","21,688","25,975","30,995","37,789","289,215"
North Dakota,2007,"3,028","2,871","3,335","3,190","2,627","2,304","2,425","3,360","4,725","6,112","4,245","4,089","42,311"
Ohio,2007,"27,085","27,058","31,297","25,827","21,922","21,873","21,109","22,367","24,682","27,937","36,449","38,508","326,114"
Oklahoma,2007,"14,180","17,968","17,015","14,058","12,662","12,576","11,804","15,754","14,220","17,206","18,591","23,047","189,081"
Oregon,2007,"12,099","13,573","15,445","13,626","11,473","12,120","10,238","12,185","15,174","12,715","13,988","19,993","162,629"
Pennsylvania,2007,"45,570","43,391","55,043","45,337","38,977","40,403","38,988","47,292","45,849","52,339","55,819","53,595","562,603"
Puerto Rico,2007,704,577,781,529,607,788,652,806,709,745,608,719,"8,225"
Rhode Island,2007,885,896,"1,024",901,795,717,668,765,796,911,917,947,"10,222"
South Carolina,2007,"12,338","13,575","12,667","9,983","9,971","9,537","9,492","12,145","11,348","13,199","14,989","20,889","150,133"
South Dakota,2007,"3,628","3,737","4,246","3,547","2,942","2,920","2,901","4,538","5,961","7,768","5,738","6,087","54,013"
Tennessee,2007,"20,523","22,518","19,720","15,480","14,140","15,879","15,507","19,077","17,923","20,691","25,157","35,126","241,741"
Texas,2007,"59,667","66,035","62,956","55,648","54,111","51,525","54,030","71,566","66,240","66,672","72,670","102,476","783,596"
Utah,2007,"8,448","8,982","10,094","8,845","8,632","9,135","6,093","10,260","13,289","12,726","14,503","16,044","127,051"
Vermont,2007,"1,290","1,771","1,933","1,742","1,342","1,137","1,272","1,475","1,999","2,253","1,956","1,781","19,951"
Virgin Islands,2007,169,140,195,134,117,94,138,76,144,133,76,45,"1,461"
Virginia,2007,"19,338","18,803","21,075","16,807","14,956","14,428","15,949","21,691","22,282","20,575","24,828","30,806","241,538"
Washington,2007,"21,114","23,241","25,271","23,256","21,372","20,378","18,898","22,167","22,670","25,799","23,766","28,224","276,156"
West Virginia,2007,"10,363","11,339","11,331","9,170","7,754","8,040","8,144","10,169","10,916","13,245","16,175","15,750","132,396"
Wisconsin,2007,"12,821","15,219","19,964","15,198","10,065","8,977","9,246","14,391","18,080","20,366","19,774","16,506","180,607"
Wyoming,2007,"3,032","3,422","3,542","3,335","3,166","3,262","2,867","3,680","3,993","3,667","3,681","5,123","42,770"
Alabama,2006,"21,531","21,538","18,991","13,751","13,586","14,332","14,059","17,132","20,195","20,207","28,357","39,497","243,176"
Alaska,2006,"2,804","3,347","3,916","4,057","3,692","3,665","3,790","4,587","3,978","4,420","3,636","5,145","47,037"
Arizona,2006,"15,655","17,942","17,718","16,031","13,634","12,970","15,298","18,238","18,291","18,283","16,980","23,138","204,178"
Arkansas,2006,"13,651","14,833","13,114","10,064","9,489","9,455","11,239","13,272","14,705","16,712","20,465","23,130","170,129"
California,2006,"56,793","56,086","65,610","57,810","46,154","43,634","43,014","51,245","45,311","45,861","48,401","57,901","617,820"
Colorado,2006,"16,176","17,483","19,787","15,906","14,543","14,451","14,434","18,582","18,384","19,853","20,853","24,297","214,749"
Connecticut,2006,"8,167","8,294","9,929","7,842","7,424","7,367","6,615","7,435","7,583","8,598","8,808","9,554","97,616"
Delaware,2006,"1,368","1,330","1,413","1,091","1,124","1,013",887,"1,126","1,357","1,585","1,997","2,407","16,698"
District of Columbia,2006,5,209,7,5,1,5,0,6,1,2,3,8,252
Florida,2006,"34,365","34,987","35,401","30,047","29,154","28,963","27,812","32,099","31,977","35,579","40,416","50,928","411,728"
Georgia,2006,"31,245","32,217","30,734","22,267","21,801","23,212","16,505","20,404","21,196","24,715","26,500","41,105","311,901"
Guam,2006,25,29,25,19,25,25,30,29,26,28,42,45,348
Hawaii,2006,696,750,858,679,653,706,622,632,552,499,464,477,"7,588"
Idaho,2006,"6,262","7,203","7,753","6,898","6,389","6,262","5,875","7,591","9,503","9,046","7,686","10,550","91,018"
Illinois,2006,"41,000","50,584","42,644","42,889","40,427","35,893","32,176","47,203","46,972","49,208","48,006","50,696","527,698"
Indiana,2006,"15,791","16,975","17,652","12,413","10,675","10,988","10,460","13,879","15,012","16,273","21,605","23,932","185,655"
Iowa,2006,"10,167","8,725","10,391","6,654","5,339","4,817","4,425","6,020","8,334","10,576","11,866","14,116","101,430"
Kansas,2006,"9,270","8,796","9,700","7,022","6,199","5,773","6,005","7,937","9,611","10,856","12,348","15,626","109,143"
Kentucky,2006,"19,922","23,169","20,689","20,703","17,563","14,936","58,454","113,059","120,706","121,114","126,127","135,157","791,599"
Louisiana,2006,"18,240","17,140","16,158","11,967","11,543","12,913","13,336","16,602","19,080","21,416","22,535","31,246","212,176"
Maine,2006,"3,559","3,961","4,676","3,779","3,091","3,053","2,865","4,024","5,791","7,607","5,218","5,482","53,106"
Mariana Islands,2006,0,0,4,0,1,0,3,0,1,4,2,11,26
Maryland,2006,"6,726","7,199","7,116","5,596","4,970","5,279","4,753","6,209","6,598","7,946","9,812","10,003","82,207"
Massachusetts,2006,"10,578","9,873","12,696","10,479","9,723","10,599","8,906","11,886","12,414","13,508","12,912","13,574","137,148"
Michigan,2006,"27,823","29,614","34,002","25,756","22,708","19,382","18,924","23,703","30,089","31,582","33,698","35,147","332,428"
Minnesota,2006,"17,117","19,535","23,372","19,793","15,366","14,368","15,253","21,345","28,160","27,809","19,741","22,853","244,712"
Mississippi,2006,"15,434","15,159","12,844","9,356","8,991","9,223","9,831","13,709","14,707","16,285","24,460","29,088","179,087"
Missouri,2006,"18,060","19,757","19,757","15,701","13,531","13,204","12,860","18,467","19,785","23,995","24,345","30,912","230,374"
Montana,2006,"6,064","6,716","7,596","6,956","6,468","6,335","5,688","7,194","8,996","10,086","6,639","9,032","87,770"
Nebraska,2006,"4,377","3,994","4,138","3,252","2,673","2,513","2,525","3,650","4,597","5,660","6,602","7,240","51,221"
Nevada,2006,"6,015","6,277","7,354","5,903","5,271","5,175","5,132","6,331","5,514","5,839","6,011","8,141","72,963"
New Hampshire,2006,"4,757","4,903","6,003","5,370","4,405","4,428","3,790","4,915","5,993","6,493","5,816","6,286","63,159"
New Jersey,2006,"2,975","2,860","3,626","3,003","2,866","2,824","2,353","2,744","2,854","3,323","3,826","4,064","37,318"
New Mexico,2006,"6,831","8,065","8,084","6,659","5,820","6,972","6,371","7,662","7,585","7,863","7,867","10,542","90,321"
New York,2006,"13,605","13,155","14,763","13,118","13,227","12,990","11,791","14,746","21,106","23,039","23,232","24,243","199,015"
North Carolina,2006,"26,341","26,722","25,428","17,609","17,722","17,828","17,174","21,914","22,525","26,424","30,759","39,578","290,024"
North Dakota,2006,"2,664","2,624","3,179","2,803","2,178","2,335","2,366","3,470","4,414","5,308","4,208","3,887","39,436"
Ohio,2006,"25,617","30,321","31,646","24,077","21,304","20,468","18,476","21,898","26,050","27,343","37,218","40,714","325,132"
Oklahoma,2006,"15,734","17,799","15,640","13,728","11,746","12,209","11,421","15,002","15,855","17,170","19,018","25,419","190,741"
Oregon,2006,"12,235","13,341","15,681","14,064","11,344","11,635","10,303","12,108","16,005","12,812","14,211","19,966","163,705"
Pennsylvania,2006,"39,264","41,779","50,469","39,155","34,441","33,260","31,458","38,133","46,540","49,449","56,941","59,565","520,454"
Puerto Rico,2006,671,648,758,610,659,770,692,660,775,790,758,682,"8,473"
Rhode Island,2006,848,839,"1,017",772,783,659,632,703,836,860,933,"1,054","9,936"
South Carolina,2006,"12,853","13,668","12,430","9,208","8,947","9,886","9,162","11,399","12,146","12,703","15,689","20,513","148,604"
South Dakota,2006,"3,838","4,173","4,217","3,470","2,727","2,807","2,875","3,871","5,783","7,123","5,777","6,014","52,675"
Tennessee,2006,"22,646","23,568","22,220","16,863","18,450","18,581","16,328","20,437","18,768","19,969","25,351","35,319","258,500"
Texas,2006,"64,220","63,683","56,992","49,767","49,790","51,519","52,276","65,069","71,198","67,245","73,251","105,226","770,236"
Utah,2006,"7,009","8,535","8,736","7,450","6,597","6,865","7,267","8,103","9,502","8,973","10,696","16,920","106,653"
Vermont,2006,"1,226","1,908","2,091","1,766","1,261","1,197","1,019","1,415","2,148","2,326","2,153","2,203","20,713"
Virgin Islands,2006,15,32,27,24,105,39,198,185,139,131,155,153,"1,203"
Virginia,2006,"19,217","20,005","20,222","21,203","14,838","16,291","15,635","16,139","18,200","20,120","25,763","31,229","238,862"
Washington,2006,"19,862","21,384","23,090","20,208","19,819","19,451","17,023","21,053","22,308","24,436","20,995","25,758","255,387"
West Virginia,2006,"10,645","12,131","11,814","9,084","7,988","8,047","7,632","8,732","12,569","13,915","17,319","18,049","137,925"
Wisconsin,2006,"12,780","16,305","19,640","15,178","10,358","8,999","9,068","13,136","20,250","22,311","21,432","19,771","189,228"
Wyoming,2006,"3,197","3,308","3,462","3,357","2,964","3,012","2,780","3,387","4,209","3,814","3,695","5,191","42,376"
Alabama,2005,"19,735","19,837","17,914","14,099","12,321","13,327","13,127","15,538","20,197","20,520","27,894","41,364","235,873"
Alaska,2005,"2,373","2,992","3,562","3,843","3,353","3,159","3,645","4,622","3,912","4,755","3,510","4,788","44,514"
Arizona,2005,"13,064","15,263","14,747","13,659","11,856","11,243","12,065","14,352","15,856","16,169","15,342","23,033","176,649"
Arkansas,2005,"12,964","14,585","12,240","10,027","7,846","9,550","9,374","11,586","14,707","15,576","20,134","25,412","164,001"
California,2005,"44,278","46,095","51,971","49,679","48,571","47,509","47,223","52,317","54,442","51,604","54,120","63,213","611,022"
Colorado,2005,"17,343","16,624","18,340","16,405","13,666","13,691","13,416","16,287","17,457","18,924","19,465","24,669","206,287"
Connecticut,2005,"7,314","8,533","9,892","9,000","7,579","7,287","6,770","7,387","8,148","8,620","8,546","8,523","97,599"
Delaware,2005,"1,217","1,278","1,421","1,260","1,066",985,979,"1,250","1,420","1,680","1,980","2,585","17,121"
District of Columbia,2005,1,0,1,1,2,3,3,1,1,2,2,3,20
Florida,2005,"28,682","29,067","28,137","27,626","24,404","25,239","23,984","28,295","31,383","34,047","37,841","51,940","370,645"
Georgia,2005,"18,866","21,168","19,820","14,884","13,355","13,572","13,979","16,074","18,904","22,800","31,933","52,460","257,815"
Guam,2005,31,44,37,42,28,32,29,38,32,31,30,34,408
Hawaii,2005,447,511,681,659,574,617,608,643,695,727,706,707,"7,575"
Idaho,2005,"5,174","6,837","6,635","6,360","5,431","5,685","5,034","6,561","8,182","8,066","6,660","9,718","80,343"
Illinois,2005,"59,821","47,431","51,660","31,934","31,098","33,367","33,135","46,717","48,703","41,194","42,416","59,658","527,134"
Indiana,2005,"13,830","15,683","16,154","13,110","9,965","10,172","9,921","12,306","12,692","16,567","19,068","22,781","172,249"
Iowa,2005,"9,621","8,945","9,945","6,734","5,192","4,689","4,459","5,831","7,510","10,112","12,280","15,026","100,344"
Kansas,2005,"7,838","8,075","7,858","6,461","5,070","5,071","5,229","7,402","8,410","10,030","12,536","14,331","98,311"
Kentucky,2005,"19,100","21,806","19,902","16,961","12,669","13,457","14,152","17,018","18,361","20,809","25,200","33,154","232,589"
Louisiana,2005,"12,968","13,897","12,256","10,365","8,895","9,898","10,106","13,554","26,526","25,247","27,168","37,074","207,954"
Maine,2005,"3,100","3,422","3,857","3,893","3,186","2,785","3,005","3,870","5,697","7,664","4,721","5,119","50,319"
Mariana Islands,2005,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2005,"5,583","6,788","7,066","5,953","4,787","4,795","4,851","5,970","6,881","7,843","10,141","10,289","80,947"
Massachusetts,2005,"9,914","8,708","10,764","8,892","7,969","7,458","7,263","8,717","8,699","9,139","8,904","8,920","105,347"
Michigan,2005,"24,890","29,158","33,963","28,321","22,581","20,251","19,723","23,858","29,906","32,181","37,692","34,511","337,035"
Minnesota,2005,"13,002","15,838","20,694","17,565","13,083","14,731","14,509","19,775","25,004","28,407","19,891","21,666","224,165"
Mississippi,2005,"12,228","13,610","10,450","8,709","7,473","7,523","8,396","10,134","15,027","18,258","24,836","31,069","167,713"
Missouri,2005,"16,307","18,694","18,007","16,086","11,314","12,031","11,941","16,316","16,632","22,597","24,118","30,198","214,241"
Montana,2005,"5,317","6,594","6,987","7,076","5,906","6,024","5,557","6,836","8,370","10,170","6,552","8,671","84,060"
Nebraska,2005,"3,830","3,718","3,769","3,106","2,485","2,454","2,466","3,420","4,328","5,530","5,774","7,292","48,172"
Nevada,2005,"4,333","4,961","5,330","4,491","4,050","3,937","3,939","5,064","4,884","5,806","6,400","9,532","62,727"
New Hampshire,2005,"4,239","4,109","4,709","4,934","4,203","3,562","3,719","4,294","5,164","6,061","5,151","5,616","55,761"
New Jersey,2005,"2,893","2,870","3,464","2,851","2,689","2,488","2,545","2,745","2,843","3,200","3,823","4,171","36,582"
New Mexico,2005,"6,215","7,668","7,361","6,201","5,345","5,457","5,556","6,507","6,878","7,308","7,362","10,193","82,051"
New York,2005,"11,478","11,978","12,567","12,416","9,606","8,153","9,342","11,401","16,273","19,351","18,353","17,863","158,781"
North Carolina,2005,"21,951","23,501","21,719","17,206","15,489","16,331","16,034","20,772","22,555","25,490","29,392","41,087","271,527"
North Dakota,2005,"2,164","2,483","2,863","2,598","2,277","2,198","2,143","2,953","4,012","5,305","3,359","3,645","36,000"
Ohio,2005,"23,709","28,879","29,211","25,460","20,443","19,225","19,034","22,438","23,674","26,799","35,670","38,617","313,159"
Oklahoma,2005,"14,224","16,811","13,650","13,177","10,812","10,360","10,887","13,888","14,354","17,076","20,091","26,701","182,031"
Oregon,2005,"11,207","13,190","14,393","14,033","10,971","11,126","9,426","11,245","15,740","13,020","13,682","20,012","158,045"
Pennsylvania,2005,"34,236","39,452","48,806","40,417","32,401","31,555","32,467","35,736","41,556","44,662","51,365","50,324","482,977"
Puerto Rico,2005,709,725,780,733,668,723,699,863,865,733,748,742,"8,988"
Rhode Island,2005,831,774,"1,018",831,693,567,620,661,835,902,945,972,"9,649"
South Carolina,2005,"10,893","12,921","12,183","9,497","8,057","8,340","8,464","10,799","11,749","12,307","15,166","21,435","141,811"
South Dakota,2005,"3,268","3,970","3,878","3,678","2,845","2,693","2,866","3,804","5,096","7,305","5,338","6,027","50,768"
Tennessee,2005,"20,278","22,338","21,708","17,726","13,941","15,910","19,176","21,483","19,482","19,685","25,073","36,650","253,450"
Texas,2005,"55,465","57,945","54,254","47,732","46,125","46,327","48,647","62,684","68,955","70,654","74,176","105,829","738,793"
Utah,2005,"6,148","6,667","7,436","6,493","5,013","5,737","4,982","6,005","8,543","8,182","8,872","14,903","88,981"
Vermont,2005,"1,100","1,651","1,739","1,715","1,170",993,"1,073","1,276","1,900","2,203","1,908","1,879","18,607"
Virgin Islands,2005,0,0,0,1,0,0,0,0,0,0,16,23,40
Virginia,2005,"16,412","18,371","19,384","17,161","13,528","12,382","14,752","15,299","17,952","20,664","24,818","31,002","221,725"
Washington,2005,"14,780","17,687","18,507","16,430","14,773","15,223","15,110","17,770","21,271","23,060","19,780","25,168","219,559"
West Virginia,2005,"9,740","11,980","11,682","9,691","7,282","7,172","7,650","9,286","11,364","13,536","17,108","17,176","133,667"
Wisconsin,2005,"10,996","15,796","19,334","16,220","10,349","8,849","9,213","12,809","18,423","21,909","20,572","18,543","183,013"
Wyoming,2005,"2,626","3,175","3,118","3,021","2,531","2,671","2,386","3,016","3,761","3,373","3,170","5,063","37,911"
Alabama,2004,"20,486","20,266","17,249","13,947","12,130","13,032","14,074","16,287","17,444","21,176","26,699","37,207","229,997"
Alaska,2004,"2,208","2,808","3,235","3,722","3,152","2,925","3,345","4,031","3,633","4,459","3,069","3,917","40,504"
Arizona,2004,"12,922","14,127","13,258","12,558","11,245","10,589","11,040","11,904","13,086","13,582","12,565","18,843","155,719"
Arkansas,2004,"13,029","14,016","11,743","9,213","8,050","8,813","9,360","11,751","13,995","16,814","19,591","21,991","158,366"
California,2004,"43,460","40,636","44,793","43,369","42,434","46,403","43,563","46,906","45,463","45,571","45,685","60,560","548,843"
Colorado,2004,"14,192","14,119","16,334","14,576","12,521","12,330","13,110","15,195","17,735","22,001","17,448","24,630","194,191"
Connecticut,2004,"9,205","9,993","10,574","8,450","7,065","7,486","7,245","7,356","7,721","8,925","7,890","9,006","100,916"
Delaware,2004,"1,218","1,258","1,233","1,144",889,926,961,"1,210","1,418","1,675","2,032","2,460","16,424"
District of Columbia,2004,0,1,4,2,2,0,1,0,4,0,0,0,14
Florida,2004,"26,510","26,760","25,583","22,389","20,687","21,304","21,187","22,860","21,139","31,051","33,432","45,122","318,024"
Georgia,2004,"20,161","21,660","18,605","14,456","12,840","13,483","14,770","16,875","18,190","23,236","22,750","35,177","232,203"
Guam,2004,31,38,30,44,18,29,42,31,35,42,52,47,439
Hawaii,2004,546,496,776,705,546,602,610,639,583,611,572,612,"7,298"
Idaho,2004,"5,156","6,102","6,787","6,207","5,511","4,794","5,165","5,810","7,700","7,776","6,131","8,414","75,553"
Illinois,2004,"56,792","51,698","51,428","44,701","35,814","40,789","35,221","45,720","42,102","55,301","65,211","65,640","590,417"
Indiana,2004,"14,800","15,525","16,306","12,091","9,872","10,336","10,325","13,324","13,109","18,095","20,618","22,119","176,520"
Iowa,2004,"9,542","8,155","9,574","6,552","4,809","4,560","4,688","5,980","7,925","10,823","11,336","14,573","98,517"
Kansas,2004,"8,278","8,417","8,254","6,650","4,995","5,267","5,569","7,075","7,890","10,937","12,394","13,281","99,007"
Kentucky,2004,"19,968","21,118","18,647","16,778","12,385","13,113","14,663","17,314","18,802","23,503","26,223","32,460","234,974"
Louisiana,2004,"13,432","13,736","12,159","9,768","8,793","9,497","10,579","13,080","15,586","19,403","19,747","26,641","172,421"
Maine,2004,"3,373","3,309","4,268","3,495","2,979","2,937","3,252","4,000","6,141","8,223","5,351","5,337","52,665"
Mariana Islands,2004,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2004,"5,159","6,478","6,345","5,425","4,098","4,715","4,942","5,900","6,887","7,932","10,069","9,531","77,481"
Massachusetts,2004,"9,772","8,699","10,213","9,429","7,766","8,088","8,701","8,845","9,547","9,922","9,584","12,430","112,996"
Michigan,2004,"24,467","26,973","31,287","27,351","22,636","21,367","21,704","26,368","31,051","36,516","36,273","36,425","342,418"
Minnesota,2004,"15,236","16,547","22,108","18,774","14,638","14,621","13,973","18,607","26,037","28,415","18,628","20,262","227,846"
Mississippi,2004,"12,365","13,855","10,511","8,706","8,104","7,894","8,779","11,411","11,372","14,717","20,374","24,206","152,294"
Missouri,2004,"16,074","17,076","17,844","15,981","11,436","11,619","12,484","15,721","16,876","23,087","23,241","27,877","209,316"
Montana,2004,"5,428","6,509","6,886","6,867","6,249","6,029","5,726","6,807","8,286","10,075","6,277","8,406","83,545"
Nebraska,2004,"3,489","3,257","3,504","2,832","2,540","2,528","2,690","3,676","4,499","6,106","6,105","7,210","48,436"
Nevada,2004,"4,237","4,469","4,817","4,243","3,896","3,612","3,978","4,159","4,877","5,179","4,796","6,491","54,754"
New Hampshire,2004,"4,449","4,314","5,322","4,894","3,797","3,647","4,143","4,340","5,360","6,204","5,077","5,244","56,791"
New Jersey,2004,"3,180","2,981","3,433","3,084","2,482","2,468","2,373","2,796","2,983","3,519","4,103","3,974","37,376"
New Mexico,2004,"6,790","7,893","6,837","6,401","5,264","5,284","5,257","6,411","6,986","7,931","6,988","9,504","81,546"
New York,2004,"10,198","10,565","13,372","12,391","8,938","8,630","9,185","11,732","17,011","20,235","19,705","18,260","160,222"
North Carolina,2004,"23,794","25,119","23,684","18,815","15,522","15,936","16,397","23,935","22,304","24,972","28,490","37,512","276,480"
North Dakota,2004,"2,141","2,239","2,661","2,541","2,256","1,981","2,135","2,796","3,825","5,179","3,297","3,639","34,690"
Ohio,2004,"26,101","30,551","31,499","27,076","20,476","19,919","19,973","23,272","24,322","29,188","37,066","37,597","327,040"
Oklahoma,2004,"14,758","16,590","13,570","12,820","10,224","10,337","10,916","12,935","13,706","16,290","18,383","22,659","173,188"
Oregon,2004,"10,804","11,998","13,561","12,187","10,572","10,109","9,299","10,501","15,537","13,010","12,846","19,264","149,688"
Pennsylvania,2004,"38,117","40,847","50,690","41,282","32,281","32,506","34,235","36,989","41,867","49,783","54,967","51,249","504,813"
Puerto Rico,2004,548,610,630,547,515,560,639,615,584,743,729,992,"7,712"
Rhode Island,2004,831,799,"1,015",793,721,735,664,684,851,986,985,990,"10,054"
